﻿date,code,name,judgment,category,target_price,stock_price,upside_pct,asai_scan_score,file_path,notes,fv,current_price,upside,asai_score,note,company,score,tp_base,tp_bull,tp_bear,upside_base,md_file,docx_file,memo
2026-04-27,3197,すかいらーくHD,SELL,外食（ファミレス・うどん）,2200,2986.0,-26.3,-55,outputs/fukai/3197_すかいらーく_SELL_DeepResearch_20260427.md,ナフサ2倍×容器+40%×食材+7%のトリプルコスト増。OPM▲2.5pt下方修正リスク70%。Forward PER 57倍は過大評価。5/13 1Q決算が下方修正カタリスト,2200,2986.0,-26.3,-55,コスト転嫁不能×ForwardPER57倍割高×資さんカニバリ構造,すかいらーくHD,-55,2200,3007,1900,-26.3,outputs/fukai/3197_すかいらーく_SELL_DeepResearch_20260427.md,outputs/fukai/3197_すかいらーく_SELL_DeepResearch_20260427.docx,打診ショート30%可。5/13 1Q決算で下方修正確認後フルサイズ60%。SL¥3300
2026-04-27,6501,日立製作所,BUY,総合電機・ITサービス（Lumada×Hitachi Energy）,7500,5356,40.0,+90,outputs/fukai/6501_日立製作所_BUY_DeepResearch_20260427_v4.md,【v4自社株買い確定】FY2026純利益¥802B(+30.3%)。FY2027ガイダンスEBIT¥1,315B・純利益¥850B(+5.9%)・EPS¥189。自社株買い4/28〜2027/3/31・上限1.6億株(3.56%)・市場買付確定。消却9336万株→EPS¥189→¥193(+2.2%試算)。IR Q3差し替え:GlobalLogic中期成長率×AI生産性中期計画織込み,7500,5356,40.0,+90,FY2026確定OP¥1,199B×自社株買い5,000億(4/28開始確定)×Physical AI受注残$43B,日立製作所,90,7500,8800,6000,40.0,outputs/fukai/6501_日立製作所_BUY_DeepResearch_20260427_v4.md,outputs/fukai/6501_日立製作所_BUY_DeepResearch_20260427_v4.docx,v4確定情報版。打診30-50%継続可。本玉条件:Q1 FY2027でLumada比率≥43%+EBITA率≥12.5%+GlobalLogic売上+15%超確認後
2026-04-27,1850,南海辰村建設,BUY,建設・土木（関西系ゼネコン）,700,448.0,56.2,+82,outputs/fukai/1850_南海辰村建設_BUY_DeepResearch_20260427.md,4/27上方修正確定（EPS+37.5%・¥52.73→¥72.50）。受注残¥84,863M（+85.4%）。EV/EBIT 1.97倍。4/28通期決算前打診50-70%可,700,448.0,56.2,+82,EPS+37.5%上方修正×受注残1.85年分×EV/EBIT1.97倍,南海辰村建設,82,700,900,420,56.2,outputs/fukai/1850_南海辰村建設_BUY_DeepResearch_20260427.md,outputs/fukai/1850_南海辰村建設_BUY_DeepResearch_20260427.docx,4/28通期決算確定後にフルエントリー。SL¥350
2026-04-27,4527,ロート製薬,WATCH,OTC医薬品・スキンケア,2820,2417.0,16.7,+52,outputs/fukai/4527_ロート製薬_WATCH_DeepResearch_20260427.md,消去法的ポジ×低価格帯受益×AVI圧力カタリスト。5/13決算後本玉判断,2820,2417.0,16.7,+52,宮迫AN消去法ポジ×決算前打診可,ロート製薬,52,2820,3130,2200,16.7,outputs/fukai/4527_ロート製薬_WATCH_DeepResearch_20260427.md,outputs/fukai/4527_ロート製薬_WATCH_DeepResearch_20260427.docx,打診30%可・5月13日FY2027ガイダンス460億円超確認後に本玉
2026-04-04,3333,あさひ,BUY,小売（自転車）,,1403.0,,,outputs/fukai/33330_あさひ_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,34980,深井 DeepResearchレポート — [34980] ,BUY,,,,,,outputs/fukai/34980_霞ヶ関キャピタル_BUY_DeepResearch_20260404.md,,,,,,,深井 DeepResearchレポート — [34980] ,,,,,,outputs/fukai/34980_霞ヶ関キャピタル_BUY_DeepResearch_20260404.md,outputs/fukai/34980_霞ヶ関キャピタル_BUY_DeepResearch_20260404.docx,
2026-04-04,4063,信越化学工業,BUY,化学・半導体素材,7400,6592.0,12.3,,outputs/fukai/40630_信越化学_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,4088,エア・ウォーター,SELL,化学・ガス,1750,2260.5,-22.6,,outputs/fukai/40880_エア・ウォーター_SELL_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,4186,東応化,BUY,化学・半導体材料,6800,7816.0,-13.0,,outputs/fukai/41860_東応化_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,4394,エクスモーション,BUY,IT・組込みソフト,,849.0,,,outputs/fukai/4394_エクスモーション_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,4667,アイサンテクノロジー,STRONG SELL,IT・測量,300,1715.0,-82.5,,outputs/fukai/46670_アイサンテクノロ_SELL_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,6279,瑞光,BUY,機械・包装,4100,935.0,338.5,,outputs/fukai/62790_瑞光_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,6469,放電精密加工研究所,BUY,精密機械,,3475.0,+33%,,outputs/fukai/6469_放電精密加工研究所_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,6723,ルネサス,BUY,半導体,2800,2299.0,21.8,,outputs/fukai/6723_ルネサス_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,6762,TDK,BUY,電子部品,2380,2058.5,15.6,,outputs/fukai/6762_TDK_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,6763,帝国通信工業,BUY,電子部品,3160,2955.0,6.9,,outputs/fukai/6763_帝国通信工業_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,7256,河西工業,STRONG SELL,自動車部品,560,256.0,118.8,,outputs/fukai/72560_河西工業_SELL_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,7363,Ｇ－ベビーカレンダー,STRONG SELL,IT・医療,550,1285.0,-57.2,,outputs/fukai/73630_Ｇ－ベビーカレン_SELL_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,8113,ユニ・チャーム,HOLD,日用品,2000,962.9,107.7,,outputs/fukai/81130_ユニ・チャーム_HOLD_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,8840,大東建託,BUY,不動産・建設,5900,3742,+57.7%,,outputs/fukai/daito_comprehensive_report.md,大東建託 総合分析,,,,,,,,,,,,,,
2026-04-04,8928,穴吹興産,STRONG SELL,不動産,1150,2639.0,-56.4,,outputs/fukai/89280_穴吹興産_SELL_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,9619,イチネンHD,BUY,リース・金融,2170,2158.0,0.6,,outputs/fukai/9619_イチネンHD_BUY_DeepResearch_v2_20260404.md,,,,,,,,,,,,,,,
2026-04-04,9619,深井 DeepResearchレポート — [9619] イ,BUY,,,,,,outputs/fukai/9619_イチネンHD_BUY_DeepResearch_20260404.md,,,,,,,深井 DeepResearchレポート — [9619] イ,,,,,,outputs/fukai/9619_イチネンHD_BUY_DeepResearch_20260404.md,outputs/fukai/9619_イチネンHD_BUY_DeepResearch_20260404.docx,
2026-04-04,9990,ワットマン,BUY,小売（中古）,997,775.0,28.6,,outputs/fukai/9990_ワットマン_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-04,PANW,パロアルトネットワークス(US),BUY,サイバーセキュリティ,,,,,outputs/fukai/PANW_パロアルトネット_BUY_DeepResearch_20260404.md,,,,,,,,,,,,,,,
2026-04-05,1605,INPEX（1605）深層分析レポート,BUY,,,,,,outputs/fukai/1605_INPEX_BUY_DeepResearch_20260405.md,,,,,,,INPEX（1605）深層分析レポート,,,,,,outputs/fukai/1605_INPEX_BUY_DeepResearch_20260405.md,outputs/fukai/1605_INPEX_BUY_DeepResearch_20260405.docx,
2026-04-05,1605,深井 DeepResearchレポート — [1605] I,BUY,,,,,,outputs/fukai/1605_INPEX【ロジ_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [1605] I,,,,,,outputs/fukai/1605_INPEX【ロジ_BUY_DeepResearch_20260405.md,outputs/fukai/1605_INPEX【ロジ_BUY_DeepResearch_20260405.docx,
2026-04-05,3778,さくらインターネット,BUY,IT・クラウド,1400,3390.0,-58.7,,outputs/fukai/3778_さくらインターネ_BUY_DeepResearch_20260405.md,,,,,,,,,,,,,,,
2026-04-05,3923,ラクス,BUY,IT・SaaS,836,796.0,5.0,,outputs/fukai/3923_ラクス_BUY_DeepResearch_20260405.md,,,,,,,,,,,,,,,
2026-04-05,4005,深井 DeepResearchレポート — [4005] 住,BUY,,,,,,outputs/fukai/4005_住友化学_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [4005] 住,,,,,,outputs/fukai/4005_住友化学_BUY_DeepResearch_20260405.md,outputs/fukai/4005_住友化学_BUY_DeepResearch_20260405.docx,
2026-04-05,4031,深井 DeepResearchレポート — [4031] 片,BUY,,,,,,outputs/fukai/4031_片倉コープアグリ_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [4031] 片,,,,,,outputs/fukai/4031_片倉コープアグリ_BUY_DeepResearch_20260405.md,outputs/fukai/4031_片倉コープアグリ_BUY_DeepResearch_20260405.docx,
2026-04-05,4183,三井化学 v2（FY2026/3 3Q再調査）,BUY,化学,5272,1899.0,177.6,,outputs/fukai/4183_三井化学 v2（_BUY_DeepResearch_20260405.md,,,,,,,,,,,,,,,
2026-04-05,4183,深井 DeepResearchレポート — [4183] 三,BUY,,,,,,outputs/fukai/4183_三井化学_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [4183] 三,,,,,,outputs/fukai/4183_三井化学_BUY_DeepResearch_20260405.md,outputs/fukai/4183_三井化学_BUY_DeepResearch_20260405.docx,
2026-04-05,5038,eWeLL,BUY,IT・介護,2700,2016.0,33.9,,outputs/fukai/5038_eWeLL_BUY_DeepResearch_20260405.md,,,,,,,,,,,,,,,
2026-04-05,5801,古河電工,BUY,非鉄・ケーブル,,36140.0,,,outputs/fukai/5801_古河電工_BUY_DeepResearch_20260405.md,,,,,,,,,,,,,,,
2026-04-05,9107,川崎汽船 v2,BUY,海運,,2751.5,,,outputs/fukai/9107_川崎汽船 v2【_BUY_DeepResearch_20260405.md,PBR是正・3Q再調査,,,,,,,,,,,,,,
2026-04-05,9107,深井 DeepResearchレポート — [9107] 川,BUY,,,,,,outputs/fukai/9107_川崎汽船 v3【_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [9107] 川,,,,,,outputs/fukai/9107_川崎汽船 v3【_BUY_DeepResearch_20260405.md,outputs/fukai/9107_川崎汽船 v3【_BUY_DeepResearch_20260405.docx,
2026-04-05,9107,深井 DeepResearchレポート — [9107] 川,BUY,,,,,,outputs/fukai/9107_川崎汽船_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [9107] 川,,,,,,outputs/fukai/9107_川崎汽船_BUY_DeepResearch_20260405.md,outputs/fukai/9107_川崎汽船_BUY_DeepResearch_20260405.docx,
2026-04-05,9115,明海グループ,BUY,海運,3500,1256.0,178.7,,outputs/fukai/9115_明海グループ【社_BUY_DeepResearch_20260405.md,社長優先3指示,,,,,,,,,,,,,,
2026-04-05,9202,ANA HD,SELL,航空,155,2897.5,-94.7,,outputs/fukai/9202_ANA HD【完_SELL_DeepResearch_20260405.md,完全再出力・途中断絶禁止,,,,,,,,,,,,,,
2026-04-05,9202,深井 DeepResearchレポート — [9202] A,SELL,,,,,,outputs/fukai/9202_ANA HD_SELL_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [9202] A,,,,,,outputs/fukai/9202_ANA HD_SELL_DeepResearch_20260405.md,outputs/fukai/9202_ANA HD_SELL_DeepResearch_20260405.docx,
2026-04-05,9843,深井 DeepResearchレポート — [9843] ニ,BUY,,,,,,outputs/fukai/9843_ニトリHD_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [9843] ニ,,,,,,outputs/fukai/9843_ニトリHD_BUY_DeepResearch_20260405.md,outputs/fukai/9843_ニトリHD_BUY_DeepResearch_20260405.docx,
2026-04-05,9983,深井 DeepResearchレポート — [9983] フ,BUY,,,,,,outputs/fukai/9983_ファーストリテイ_BUY_DeepResearch_20260405.md,,,,,,,深井 DeepResearchレポート — [9983] フ,,,,,,outputs/fukai/9983_ファーストリテイ_BUY_DeepResearch_20260405.md,outputs/fukai/9983_ファーストリテイ_BUY_DeepResearch_20260405.docx,
2026-04-06,1377,深井 DeepResearchレポート — [1377] サ,BUY,,,,,,outputs/fukai/1377_サカタのタネ【肥_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [1377] サ,,,,,,outputs/fukai/1377_サカタのタネ【肥_BUY_DeepResearch_20260406.md,outputs/fukai/1377_サカタのタネ【肥_BUY_DeepResearch_20260406.docx,
2026-04-06,1605,INPEX,STRONG BUY,石油・天然ガス,7272,4534.0,60.4,,outputs/fukai/1605_INPEX【WT_BUY_DeepResearch_20260406.md,WTI$113完全再計算・最終判定版,,,,,,,,,,,,,,
2026-04-06,1605,深井 DeepResearchレポート — [1605] I,BUY,,5200,,,,outputs/fukai/1605_INPEX【価格_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [1605] I,,5200.0,,,,outputs/fukai/1605_INPEX【価格_BUY_DeepResearch_20260406.md,outputs/fukai/1605_INPEX【価格_BUY_DeepResearch_20260406.docx,
2026-04-06,1662,石油資源開発,STRONG BUY,石油・天然ガス,8698,2546.0,241.6,,outputs/fukai/1662_石油資源開発_BUY_DeepResearch_20260406.md,,,,,,,,,,,,,,,
2026-04-06,1793,大本組,BUY,建設,18,1636.0,-98.9,,outputs/fukai/1793_大本組【低PBR_BUY_DeepResearch_20260406.md,低PBR×高自己資本比率×建設,,,,,,,,,,,,,,
2026-04-06,1850,南海辰村建設,BUY,建設,620,470.0,31.9,,outputs/fukai/1850_南海辰村建設【ネ_BUY_DeepResearch_20260406.md,ネットキャッシュ割安×副首都大阪テーマ×TOB期待,,,,,,,,,,,,,,
2026-04-06,1866,北野建設,BUY,建設,1739,1219.0,42.7,,outputs/fukai/1866_北野建設【アクテ_BUY_DeepResearch_20260406.md,アクティビスト介入×TOB期待×低PBR×建設,,,,,,,,,,,,,,
2026-04-06,2193,クックパッド,BUY,IT・メディア,25,136.0,-81.6,,outputs/fukai/2193_クックパッド【低_BUY_DeepResearch_20260406.md,低PBR×高自己資本×新TOPIX除外後の割安検証・株価132円再計算版,,,,,,,,,,,,,,
2026-04-06,2503,キリンHD,STRONG BUY,食品・飲料,2950,2632.5,12.1,,outputs/fukai/2503_キリンHD【スタ_BUY_DeepResearch_20260406.md,スタグフレーション耐性×自社株買い×FV算出,,,,,,,,,,,,,,
2026-04-06,2685,アダストリア,BUY,アパレル・小売,3604,3005.0,19.9,,outputs/fukai/2685_アダストリア【決_BUY_DeepResearch_20260406.md,決算サプライズ+40.7%×狭小賢者×衣料品実需×FairValue算出,,,,,,,,,,,,,,
2026-04-06,2685,深井 DeepResearchレポート — [2685] ア,BUY,,,,,,outputs/fukai/2685_アンドエスティHD_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [2685] ア,,,,,,outputs/fukai/2685_アンドエスティHD_BUY_DeepResearch_20260406.md,outputs/fukai/2685_アンドエスティHD_BUY_DeepResearch_20260406.docx,
2026-04-06,2685,深井 DeepResearchレポート — [2685] ア,BUY,,,,,,outputs/fukai/2685_アンドエスティH_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [2685] ア,,,,,,outputs/fukai/2685_アンドエスティH_BUY_DeepResearch_20260406.md,outputs/fukai/2685_アンドエスティH_BUY_DeepResearch_20260406.docx,
2026-04-06,278A,TerraDrone,STRONG SELL,ドローン・防衛テック,1000,4855,-79.4%,,outputs/fukai/278A_TerraDro_STRONG_SELL_DeepResearch_20260406.md,,,,,,,,,,,,,,,
2026-04-06,3186,ネクステージ,BUY,中古車・小売,,3425.0,+18.1%,,outputs/fukai/3186_ネクステージ【決_BUY_DeepResearch_20260406.md,決算サプライズ+65.8%×中古車×新車供給垂直化×FairValue算出,,,,,,,,,,,,,,
2026-04-06,3402,東レ,STRONG BUY,化学・繊維,2611,1118.5,133.4,,outputs/fukai/3402_東レ【炭素繊維×_BUY_DeepResearch_20260406.md,炭素繊維×北朝鮮軽量化技術×地政学プレミアム再付加,,,,,,,,,,,,,,
2026-04-06,3542,ベガコーポ（LOWYA）,STRONG BUY,EC・アパレル,,1740.0,+76.7%,,outputs/fukai/3542_ベガコーポ（LO_BUY_DeepResearch_20260406.md,狭小賢者×変形家具×SNS×浅井+97 Strong Buy,,,,,,,,,,,,,,
2026-04-06,3932,アカツキ,BUY,ゲーム・エンタメ,12,2797.0,-99.6,,outputs/fukai/3932_アカツキ【低PB_BUY_DeepResearch_20260406.md,低PBR×生成AI活用OPM改善余地・株価修正版,,,,,,,,,,,,,,
2026-04-06,4005,住友化学,BUY,化学,510,540.9,-5.7,,outputs/fukai/4005_住友化学_BUY_DeepResearch_20260406.md,,,,,,,,,,,,,,,
2026-04-06,4180,Appier Group,BUY,AI・IT,1050,895.0,17.3,,outputs/fukai/4180_Appier G_BUY_DeepResearch_20260406.md,SaaSの死×AIがAIに代替される逆説×5/20決算前,,,,,,,,,,,,,,
2026-04-06,4403,日油,STRONG BUY,化学・防衛,4680,3243.0,44.3,,outputs/fukai/4403_日油【防衛関連収_BUY_DeepResearch_20260406.md,防衛関連収益増×自社株買い×有事の隠れ家,,,,,,,,,,,,,,
2026-04-06,4431,スマレギ,HOLD,IT・SaaS,2320,2244.0,3.4,,outputs/fukai/4431_スマレギ【Saa_BUY_DeepResearch_20260406.md,SaaSの死×AI代替リスク×POSレジの堀検証×¥2,,,,,,,,,,,,,,
2026-04-06,4534,深井 DeepResearchレポート — [4534] 持,BUY,,,,,,outputs/fukai/4534_持田製薬【低PB_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [4534] 持,,,,,,outputs/fukai/4534_持田製薬【低PB_BUY_DeepResearch_20260406.md,outputs/fukai/4534_持田製薬【低PB_BUY_DeepResearch_20260406.docx,
2026-04-06,4549,栄研化学,BUY,医薬品・検査,4800,3305.0,45.2,,outputs/fukai/4549_栄研化学【TOB_BUY_DeepResearch_20260406.md,TOB期待×体外診断薬×大株主構成×プレミアム水準試算,,,,,,,,,,,,,,
2026-04-06,4657,深井 DeepResearchレポート — [4657] 環,BUY,,,,,,outputs/fukai/4657_環境管理センター_BUY_DeepResearch_20260406.md,,,,,,,深井 DeepResearchレポート — [4657] 環,,,,,,outputs/fukai/4657_環境管理センター_BUY_DeepResearch_20260406.md,outputs/fukai/4657_環境管理センター_BUY_DeepResearch_20260406.docx,
2026-04-06,4994,大成ラミック,BUY,化学・包装,,2521.0,+21%,,outputs/fukai/4994_大成ラミック【低_BUY_DeepResearch_20260406.md,低PBR×高自己資本×ナフサ高・調達難リスク検証,,,,,,,,,,,,,,
